,PLEXOS Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HSEO 2024,6071.37391395,5906.40551982,5732.21312584,5655.92707343,5600.06437451,5576.09761283,5551.37700958,5571.00600506,5617.27196603,5714.34735562,5959.51538574,6173.63282404,6424.78019658,6723.2570858,7022.5062053,7513.06136783,7832.84796773,8134.40652777,8424.88750138,8669.82477986,9017.23461337,9233.85705303,9442.08224983,9646.90379473,9827.68019144,10093.60515531,10247.51179153,10412.75079273,10535.8565534
,Previous,6286.60800139,6368.45789285,6487.44070638,6651.54475939,6854.64457467,7253.78692682,7562.05900047,7930.28788147,8421.11103879,8933.04614338,9738.08984226,10324.67751268,10858.731307,11422.63868376,11904.40540451,12353.35398793,12625.79385622,12880.06596218,13095.88458676,13202.68237464,13329.8859782,13427.89103265,13577.68993539,13652.55573161,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emisison intensity (g CO2/kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HECO IGP,561.389790498672,542.525397862174,523.661005225676,504.796612589178,485.93221995268,467.067827316182,448.203434679684,429.339042043186,410.474649406688,360.203819248342,309.932989089996,259.66215893165,209.391328773304,159.120498614958,149.548686219201,139.976873823443,130.405061427685,120.833249031927,111.261436636169,89.0115073175184,66.7615779988677,44.5116486802171,22.2617193615664,0.0117900429157562,,,,,
,HSEO 2023,619.207109733787,558.84761647666,498.488123219534,438.128629962407,377.769136705281,317.409643448154,257.050150191027,196.690656933901,136.331163676774,119.904733340855,103.478303004935,87.0518726690159,70.6254423330965,54.1990119971771,56.3516437224482,58.5042754477193,60.6569071729904,62.8095388982614,64.9621706235325,51.969736498826,38.9773023741195,25.984868249413,12.9924341247065,0,,,,,
,HSEO 2024,563.685484170904,534.905429236644,499.907480955722,491.645397646306,488.35394953282,459.23698633216,448.360382639246,328.256508252103,275.889097456639,159.97616926917,149.781163241374,134.353063088908,113.509673634314,125.264352875968,131.309450455104,128.641507485736,128.72164777969,117.842790311992,126.301893052127,128.563293076495,159.891607408246,155.187799608158,138.885022704723,0,0,0,0,0,0
,Previous,619.207109733787,626.470517568588,594.337814290638,593.631475617871,611.555019865755,579.563256786481,516.733699602798,414.151807388258,367.395190749028,332.194910485169,324.913733512515,292.660742662283,267.179834379385,250.378666505459,271.790927153634,259.929287936405,253.905665320578,271.520983186066,195.979689978428,190.247579076937,192.94453369914,186.123488615976,179.994133013563,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Sceanari,563.685484170904,534.905429236644,499.907480955722,491.645397646306,488.35394953282,459.23698633216,448.360382639246,328.256508252103,275.889097456639,159.97616926917,149.781163241374,134.353063088908,113.509673634314,125.264352875968,131.309450455104,128.641507485736,128.72164777969,117.842790311992,126.301893052127,128.563293076495,159.891607408246,155.187799608158,138.885022704723,0,,,,,
