,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Base is based on NREL Conservative Load Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar - Distributed,," 1,098.3 "," 1,261.7 "," 1,445.7 "," 1,530.9 "," 1,599.3 "," 1,700.4 "," 1,768.3 "," 1,829.2 "," 1,893.6 "," 1,946.6 "," 2,028.6 "," 2,066.2 "," 2,103.6 "," 2,137.5 "," 2,192.0 "," 2,236.7 "," 2,258.1 "," 2,284.1 "," 2,308.0 "," 2,327.8 "," 2,367.3 "," 2,389.4 "," 2,399.0 "," 2,421.2 "," 2,434.2 "," 2,499.1 "," 2,520.4 "," 2,516.8 "," 2,535.8 ",,,,
,,Onshore Wind  ,, 472.0 , 470.7 , 468.9 , 469.5 , 466.3 , 464.6 , 448.8 ," 1,036.2 "," 1,042.5 "," 1,061.4 "," 1,000.2 "," 1,001.1 ", 985.8 , 978.6 ," 1,003.4 ", 967.0 , 879.6 , 926.7 , 922.0 , 924.9 , 881.5 , 905.0 , 904.2 , 907.4 , 896.1 , 932.0 , 910.4 , 913.0 , 886.0 ,,,,
,,Offshore Wind  ,, - , - , - , - , - , - , - , - , - , 451.8 , 748.4 ," 1,093.0 "," 1,599.2 "," 1,753.5 "," 1,743.0 "," 1,778.2 "," 1,907.9 "," 2,100.2 "," 1,987.1 "," 1,990.5 "," 1,421.6 "," 1,422.7 "," 1,721.6 "," 1,594.9 "," 2,052.5 "," 2,049.4 "," 1,451.8 "," 1,806.7 "," 1,726.3 ",,,,
,,Biomass  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Refuse  ,, 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 ,,,,
,,Hydro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Convert biodiesel 2045 forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Installed Capacity | MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COAL/OIL,," 1,465.4 "," 1,465.4 "," 1,371.8 "," 1,371.8 "," 1,371.8 "," 1,263.7 "," 1,263.7 "," 1,094.5 ", 886.5 , 886.5 , 886.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 ,,,,,,,,,,
,,GAS_CCGT,, - , - , - , - , - , - , - , 60.0 , 123.9 , 323.9 , 382.8 , 382.8 , 382.8 , 384.3 , 406.8 , 503.9 , 503.9 , 540.5 , 580.8 , 630.0 , 702.5 , 722.0 , 759.2 , 882.1 , 913.2 , 916.9 , 947.9 , 947.9 , 956.2 ,,,,
,,GAS_OCGT,, - , - , - , - , - , - , - , - , - , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 , 71.0 ,,,,
,,HYDROGEN,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,, - ,
,,SOLAR,, 213.0 , 305.5 , 436.5 , 451.5 , 451.5 , 631.5 , 761.5 , 852.5 , 943.0 , 943.0 , 942.0 , 937.0 , 942.2 , 967.8 , 992.7 ," 1,087.7 "," 1,182.7 "," 1,250.1 "," 1,382.6 "," 1,368.0 "," 1,463.0 "," 1,558.0 "," 1,633.0 "," 1,728.0 "," 1,823.0 "," 1,918.0 "," 2,013.0 "," 2,108.0 "," 2,203.0 ",,,,
,,ROOFTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GEOTHERMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIND,, 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 268.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 ,,,,
,,OFFSHORE_WIND,, - , - , - , - , - , - , - , - , - , 80.0 , 160.0 , 240.0 , 320.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 ,,,,
,,HYDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BATTERY,, - , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 455.3 , 868.3 , 903.3 , 938.3 , 973.3 ," 1,008.3 "," 1,043.3 "," 1,078.3 "," 1,113.3 "," 1,148.3 "," 1,183.3 "," 1,218.3 "," 1,253.3 "," 1,288.3 "," 1,323.3 "," 1,358.3 "," 1,393.3 "," 1,428.3 "," 1,463.3 "," 1,498.3 "," 1,533.3 "," 1,568.3 ",,,,
,,80NAPTHTHA 20BIODIESEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIOMASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIODIESEL,, 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 8.0 , 600.5 , 600.5 , 600.5 , 600.5 , 638.9 , 638.9 ,,,,
,,BIOGAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REFUSE,, 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 ,,,,
