,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Uses Conservative_nogas scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Refuse  ,, 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 ,,,,
,,Hydro ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,
,,Geothermal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Battery,, - , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 455.3 , 868.3 , 903.3 , 938.3 , 973.3 ," 1,008.3 "," 1,043.3 "," 1,078.3 "," 1,113.3 "," 1,148.3 "," 1,183.3 "," 1,218.3 "," 1,253.3 "," 1,288.3 "," 1,323.3 "," 1,358.3 "," 1,393.3 "," 1,428.3 "," 1,463.3 "," 1,498.3 "," 1,533.3 "," 1,568.3 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Firm,," 1,541.9 "," 1,541.9 "," 1,448.3 "," 1,448.3 "," 1,448.3 "," 1,340.2 "," 1,340.2 "," 1,171.0 ", 963.0 ," 1,063.0 "," 1,163.0 "," 1,042.9 "," 1,133.8 "," 1,206.5 "," 1,236.0 "," 1,310.8 "," 1,371.1 "," 1,409.5 "," 1,449.8 "," 1,499.0 "," 1,529.9 "," 1,591.0 "," 1,628.3 "," 2,414.6 "," 2,445.7 "," 2,449.4 "," 2,480.5 "," 2,518.8 "," 2,527.1 ",,,,
,,Intermittent,," 1,004.3 "," 1,180.6 "," 1,369.7 "," 1,430.3 "," 1,476.1 "," 1,699.3 "," 1,872.9 "," 2,164.7 "," 2,292.3 "," 2,456.4 "," 2,664.2 "," 2,858.2 "," 2,978.1 "," 3,175.1 "," 3,197.9 "," 3,308.3 "," 3,401.1 "," 3,503.3 "," 3,652.9 "," 3,648.4 "," 3,755.6 "," 3,861.8 "," 3,950.2 "," 4,051.3 "," 4,155.1 "," 4,258.1 "," 4,363.9 "," 4,462.4 "," 4,563.8 ",,,,
,,Storage,, - , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 455.3 , 868.3 , 903.3 , 938.3 , 973.3 ," 1,008.3 "," 1,043.3 "," 1,078.3 "," 1,113.3 "," 1,148.3 "," 1,183.3 "," 1,218.3 "," 1,253.3 "," 1,288.3 "," 1,323.3 "," 1,358.3 "," 1,393.3 "," 1,428.3 "," 1,463.3 "," 1,498.3 "," 1,533.3 "," 1,568.3 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
