,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reference is based on Reference NREL Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar - Distributed,," 1,098.3 "," 1,261.7 "," 1,445.7 "," 1,524.1 "," 1,596.7 "," 1,700.4 "," 1,768.3 "," 1,828.9 "," 1,893.6 "," 1,946.6 "," 2,026.6 "," 2,069.6 "," 2,107.5 "," 2,144.0 "," 2,177.5 "," 2,236.6 "," 2,256.7 "," 2,285.3 "," 2,316.8 "," 2,329.1 "," 2,366.7 "," 2,389.1 "," 2,407.3 "," 2,421.3 "," 2,435.7 "," 2,499.3 "," 2,520.4 "," 2,521.1 "," 2,535.1 ",,,,
,,Onshore Wind  ,, 472.3 , 470.7 , 470.2 , 467.3 , 468.5 , 465.9 , 450.6 ," 1,042.3 "," 1,045.7 "," 1,064.8 ", 993.2 , 971.2 , 963.5 , 942.4 , 933.5 , 942.9 , 854.0 , 885.9 , 870.7 , 888.7 , 828.4 , 864.0 , 853.0 , 846.5 , 838.2 , 864.7 , 871.3 , 856.9 , 861.0 ,,,,
,,Offshore Wind  ,, - , - , - , - , - , - , - , - , - , 453.4 , 802.1 ," 1,232.0 "," 1,419.0 "," 1,613.9 "," 1,843.8 "," 1,208.5 "," 1,816.5 "," 1,589.5 "," 1,558.7 "," 1,671.7 "," 1,315.2 "," 1,392.7 "," 1,237.9 "," 1,910.6 "," 1,987.1 "," 2,092.0 "," 1,400.6 "," 1,914.2 "," 1,215.9 ",,,,
,,Biomass  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Refuse  ,, 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.6 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 ,,,,
,,Hydro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Geothermal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Convert biodiesel 2045 forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Installed Capacity | MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COAL/OIL,," 1,465.4 "," 1,465.4 "," 1,371.8 "," 1,371.8 "," 1,371.8 "," 1,263.7 "," 1,263.7 "," 1,094.5 "," 1,094.5 "," 1,094.5 "," 1,094.5 ", 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 , 721.5 ,,,,,,,,,,
,,GAS_CCGT,, - , - , - , - , - , - , 65.0 , 65.0 , 65.0 , 265.0 , 314.4 , 345.8 , 345.8 , 345.8 , 345.8 , 409.3 , 409.3 , 409.3 , 409.3 , 409.3 , 554.3 , 554.3 , 570.7 , 576.9 , 576.9 , 588.4 , 611.1 , 611.1 , 663.5 ,,,,
,,GAS_OCGT,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,
,,HYDROGEN,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,, - ,
