,atb_year,core_metric_key,core_metric_parameter,core_metric_case,tax_credit_case,crpyears,technology,technology_alias,techdetail,techdetail2,resourcedetail,display_name,default,scale,maturity,scenario,core_metric_variable,units,value
5486,2024,107028,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Advanced,2026,,1336.112157856809
5487,2024,107029,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Moderate,2026,,1659.3941388521046
5489,2024,107030,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Conservative,2026,,2082.9348918283094
5490,2024,107031,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Advanced,2026,,1836.494303722917
5491,2024,107032,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Moderate,2026,,2275.382415374085
5492,2024,107033,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Conservative,2026,,2882.140828587766
5493,2024,107034,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Advanced,2026,,2336.876449589025
5494,2024,107035,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Moderate,2026,,2891.3706918960656
5495,2024,107036,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Conservative,2026,,3681.346765347223
5496,2024,107037,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Advanced,2026,,2837.2585954551328
5497,2024,107038,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Moderate,2026,,3507.3589684180465
5498,2024,107039,CAPEX,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Conservative,2026,,4480.552702106681
11675,2024,115284,CF,Market,PTC,20,UtilityPV,Utility PV,Class1,Tracking PV,Class1,Utility PV - Class 1,0,Utility,Y,Advanced,2027,,0.3319067351605334
11676,2024,115285,CF,Market,PTC,20,UtilityPV,Utility PV,Class1,Tracking PV,Class1,Utility PV - Class 1,0,Utility,Y,Moderate,2027,,0.32381318397041436
11677,2024,115286,CF,Market,PTC,20,UtilityPV,Utility PV,Class1,Tracking PV,Class1,Utility PV - Class 1,0,Utility,Y,Conservative,2027,,0.31317993005031264
11678,2024,115287,CF,Market,PTC,20,UtilityPV,Utility PV,Class2,Tracking PV,Class2,Utility PV - Class 2,0,Utility,Y,Advanced,2027,,0.32091942878742113
11679,2024,115288,CF,Market,PTC,20,UtilityPV,Utility PV,Class2,Tracking PV,Class2,Utility PV - Class 2,0,Utility,Y,Moderate,2027,,0.3131350730129107
11680,2024,115289,CF,Market,PTC,20,UtilityPV,Utility PV,Class2,Tracking PV,Class2,Utility PV - Class 2,0,Utility,Y,Conservative,2027,,0.30297949893350146
11682,2024,115290,CF,Market,PTC,20,UtilityPV,Utility PV,Class3,Tracking PV,Class3,Utility PV - Class 3,0,Utility,Y,Advanced,2027,,0.30645187823544395
11683,2024,115291,CF,Market,PTC,20,UtilityPV,Utility PV,Class3,Tracking PV,Class3,Utility PV - Class 3,0,Utility,Y,Moderate,2027,,0.2987745498744776
11684,2024,115292,CF,Market,PTC,20,UtilityPV,Utility PV,Class3,Tracking PV,Class3,Utility PV - Class 3,0,Utility,Y,Conservative,2027,,0.2885389478078063
11685,2024,115293,CF,Market,PTC,20,UtilityPV,Utility PV,Class4,Tracking PV,Class4,Utility PV - Class 4,0,Utility,Y,Advanced,2027,,0.29240016731090457
11686,2024,115294,CF,Market,PTC,20,UtilityPV,Utility PV,Class4,Tracking PV,Class4,Utility PV - Class 4,0,Utility,Y,Moderate,2027,,0.28488022121901857
11687,2024,115295,CF,Market,PTC,20,UtilityPV,Utility PV,Class4,Tracking PV,Class4,Utility PV - Class 4,0,Utility,Y,Conservative,2027,,0.2747074374583729
11688,2024,115296,CF,Market,PTC,20,UtilityPV,Utility PV,Class5,Tracking PV,Class5,Utility PV - Class 5,1,Utility,Y,Advanced,2027,,0.2781441952042198
11689,2024,115297,CF,Market,PTC,20,UtilityPV,Utility PV,Class5,Tracking PV,Class5,Utility PV - Class 5,1,Utility,Y,Moderate,2027,,0.27083808091407174
11690,2024,115298,CF,Market,PTC,20,UtilityPV,Utility PV,Class5,Tracking PV,Class5,Utility PV - Class 5,1,Utility,Y,Conservative,2027,,0.260939947542501
11691,2024,115299,CF,Market,PTC,20,UtilityPV,Utility PV,Class6,Tracking PV,Class6,Utility PV - Class 6,0,Utility,Y,Advanced,2027,,0.2641031050672448
11693,2024,115300,CF,Market,PTC,20,UtilityPV,Utility PV,Class6,Tracking PV,Class6,Utility PV - Class 6,0,Utility,Y,Moderate,2027,,0.2570058905533561
11694,2024,115301,CF,Market,PTC,20,UtilityPV,Utility PV,Class6,Tracking PV,Class6,Utility PV - Class 6,0,Utility,Y,Conservative,2027,,0.24738093626150556
11695,2024,115302,CF,Market,PTC,20,UtilityPV,Utility PV,Class7,Tracking PV,Class7,Utility PV - Class 7,0,Utility,Y,Advanced,2027,,0.25085144841276563
11696,2024,115303,CF,Market,PTC,20,UtilityPV,Utility PV,Class7,Tracking PV,Class7,Utility PV - Class 7,0,Utility,Y,Moderate,2027,,0.24400801262135757
11697,2024,115304,CF,Market,PTC,20,UtilityPV,Utility PV,Class7,Tracking PV,Class7,Utility PV - Class 7,0,Utility,Y,Conservative,2027,,0.23462238591791423
11698,2024,115305,CF,Market,PTC,20,UtilityPV,Utility PV,Class8,Tracking PV,Class8,Utility PV - Class 8,0,Utility,Y,Advanced,2027,,0.24119090777450675
11699,2024,115306,CF,Market,PTC,20,UtilityPV,Utility PV,Class8,Tracking PV,Class8,Utility PV - Class 8,0,Utility,Y,Moderate,2027,,0.2346589277028463
11700,2024,115307,CF,Market,PTC,20,UtilityPV,Utility PV,Class8,Tracking PV,Class8,Utility PV - Class 8,0,Utility,Y,Conservative,2027,,0.2255803991045864
11701,2024,115308,CF,Market,PTC,20,UtilityPV,Utility PV,Class9,Tracking PV,Class9,Utility PV - Class 9,0,Utility,Y,Advanced,2027,,0.22966816224794576
11702,2024,115309,CF,Market,PTC,20,UtilityPV,Utility PV,Class9,Tracking PV,Class9,Utility PV - Class 9,0,Utility,Y,Moderate,2027,,0.2234030194937844
11704,2024,115310,CF,Market,PTC,20,UtilityPV,Utility PV,Class9,Tracking PV,Class9,Utility PV - Class 9,0,Utility,Y,Conservative,2027,,0.21462405761269948
11705,2024,115311,CF,Market,PTC,20,UtilityPV,Utility PV,Class10,Tracking PV,Class10,Utility PV - Class 10,0,Utility,Y,Advanced,2027,,0.21104721513232633
11706,2024,115312,CF,Market,PTC,20,UtilityPV,Utility PV,Class10,Tracking PV,Class10,Utility PV - Class 10,0,Utility,Y,Moderate,2027,,0.2051320815832534
11707,2024,115313,CF,Market,PTC,20,UtilityPV,Utility PV,Class10,Tracking PV,Class10,Utility PV - Class 10,0,Utility,Y,Conservative,2027,,0.19687382126665892
11708,2024,115314,OCC,Market,PTC,20,UtilityPV,Utility PV,Class1,Tracking PV,Class1,Utility PV - Class 1,0,Utility,Y,Advanced,2027,,1159.6198488370994
11709,2024,115315,OCC,Market,PTC,20,UtilityPV,Utility PV,Class1,Tracking PV,Class1,Utility PV - Class 1,0,Utility,Y,Moderate,2027,,1211.3122317998786
11710,2024,115316,OCC,Market,PTC,20,UtilityPV,Utility PV,Class1,Tracking PV,Class1,Utility PV - Class 1,0,Utility,Y,Conservative,2027,,1289.2319764989024
11711,2024,115317,OCC,Market,PTC,20,UtilityPV,Utility PV,Class2,Tracking PV,Class2,Utility PV - Class 2,0,Utility,Y,Advanced,2027,,1159.6198488370994
11712,2024,115318,OCC,Market,PTC,20,UtilityPV,Utility PV,Class2,Tracking PV,Class2,Utility PV - Class 2,0,Utility,Y,Moderate,2027,,1211.3122317998786
11713,2024,115319,OCC,Market,PTC,20,UtilityPV,Utility PV,Class2,Tracking PV,Class2,Utility PV - Class 2,0,Utility,Y,Conservative,2027,,1289.2319764989024
11715,2024,115320,OCC,Market,PTC,20,UtilityPV,Utility PV,Class3,Tracking PV,Class3,Utility PV - Class 3,0,Utility,Y,Advanced,2027,,1159.6198488370994
11716,2024,115321,OCC,Market,PTC,20,UtilityPV,Utility PV,Class3,Tracking PV,Class3,Utility PV - Class 3,0,Utility,Y,Moderate,2027,,1211.3122317998786
11717,2024,115322,OCC,Market,PTC,20,UtilityPV,Utility PV,Class3,Tracking PV,Class3,Utility PV - Class 3,0,Utility,Y,Conservative,2027,,1289.2319764989024
11718,2024,115323,OCC,Market,PTC,20,UtilityPV,Utility PV,Class4,Tracking PV,Class4,Utility PV - Class 4,0,Utility,Y,Advanced,2027,,1159.6198488370994
11719,2024,115324,OCC,Market,PTC,20,UtilityPV,Utility PV,Class4,Tracking PV,Class4,Utility PV - Class 4,0,Utility,Y,Moderate,2027,,1211.3122317998786
11720,2024,115325,OCC,Market,PTC,20,UtilityPV,Utility PV,Class4,Tracking PV,Class4,Utility PV - Class 4,0,Utility,Y,Conservative,2027,,1289.2319764989024
11721,2024,115326,OCC,Market,PTC,20,UtilityPV,Utility PV,Class5,Tracking PV,Class5,Utility PV - Class 5,1,Utility,Y,Advanced,2027,,1159.6198488370994
11722,2024,115327,OCC,Market,PTC,20,UtilityPV,Utility PV,Class5,Tracking PV,Class5,Utility PV - Class 5,1,Utility,Y,Moderate,2027,,1211.3122317998786
11723,2024,115328,OCC,Market,PTC,20,UtilityPV,Utility PV,Class5,Tracking PV,Class5,Utility PV - Class 5,1,Utility,Y,Conservative,2027,,1289.2319764989024
11724,2024,115329,OCC,Market,PTC,20,UtilityPV,Utility PV,Class6,Tracking PV,Class6,Utility PV - Class 6,0,Utility,Y,Advanced,2027,,1159.6198488370994
11726,2024,115330,OCC,Market,PTC,20,UtilityPV,Utility PV,Class6,Tracking PV,Class6,Utility PV - Class 6,0,Utility,Y,Moderate,2027,,1211.3122317998786
11727,2024,115331,OCC,Market,PTC,20,UtilityPV,Utility PV,Class6,Tracking PV,Class6,Utility PV - Class 6,0,Utility,Y,Conservative,2027,,1289.2319764989024
11728,2024,115332,OCC,Market,PTC,20,UtilityPV,Utility PV,Class7,Tracking PV,Class7,Utility PV - Class 7,0,Utility,Y,Advanced,2027,,1159.6198488370994
11729,2024,115333,OCC,Market,PTC,20,UtilityPV,Utility PV,Class7,Tracking PV,Class7,Utility PV - Class 7,0,Utility,Y,Moderate,2027,,1211.3122317998786
11730,2024,115334,OCC,Market,PTC,20,UtilityPV,Utility PV,Class7,Tracking PV,Class7,Utility PV - Class 7,0,Utility,Y,Conservative,2027,,1289.2319764989024
11731,2024,115335,OCC,Market,PTC,20,UtilityPV,Utility PV,Class8,Tracking PV,Class8,Utility PV - Class 8,0,Utility,Y,Advanced,2027,,1159.6198488370994
11732,2024,115336,OCC,Market,PTC,20,UtilityPV,Utility PV,Class8,Tracking PV,Class8,Utility PV - Class 8,0,Utility,Y,Moderate,2027,,1211.3122317998786
