GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091010,0.8554879
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091012,0.7461011
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091014,0.6689366
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091016,0.8113158
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091018,0.0056333267
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091020,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708091022,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112206,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112208,0.013532493
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112210,0.02197162
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112212,0.08629405
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112214,0.29980528
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112216,0.08214999
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112218,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2708112222,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011206,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011208,0.47388282
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011210,0.8348231
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011212,0.7990056
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011214,0.8021603
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011216,0.6915468
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011218,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011222,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011900,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011902,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011904,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011906,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011908,0.51153845
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011910,0.56689453
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011912,0.6397494
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011914,0.47455212
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011916,0.15965451
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011918,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011920,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007011922,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021206,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021208,0.6408217
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021210,0.957341
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021212,0.93225086
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021214,0.9392849
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021216,0.76339644
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021218,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,3007021222,0.0
