scenario,period,tech,energy_gwh,capacity_mw,emissions_tco2
nlv2a_C5_LNG375_highbrent,2040,Battery storage,-205.15,693.3,0.0
nlv2a_C5_LNG375_highbrent,2040,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C5_LNG375_highbrent,2040,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_highbrent,2040,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_highbrent,2040,Onshore wind,266.86,150.0,0.0
nlv2a_C5_LNG375_highbrent,2040,Oil,963.47,1255.8,462147.0
nlv2a_C5_LNG375_highbrent,2040,LNG,1016.16,0,487424.0
nlv2a_C5_LNG375_highbrent,2040,Utility solar,3161.79,1466.2,0.0
nlv2a_C5_LNG375_highbrent,2040,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_highbrent,2045,Battery storage,-332.34,1130.9,0.0
nlv2a_C5_LNG375_highbrent,2045,Distributed solar (modeled),0.0,391.0,0.0
nlv2a_C5_LNG375_highbrent,2045,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_highbrent,2045,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_highbrent,2045,Onshore wind,442.19,150.0,0.0
nlv2a_C5_LNG375_highbrent,2045,Oil,77.34,848.0,0.0
nlv2a_C5_LNG375_highbrent,2045,Utility solar,5767.27,2808.2,0.0
nlv2a_C5_LNG375_highbrent,2045,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_highbrent,2050,Battery storage,-347.85,1188.0,0.0
nlv2a_C5_LNG375_highbrent,2050,Distributed solar (modeled),0.0,0.0,0.0
nlv2a_C5_LNG375_highbrent,2050,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_highbrent,2050,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_highbrent,2050,Onshore wind,481.01,150.0,0.0
nlv2a_C5_LNG375_highbrent,2050,Oil,57.51,542.4,0.0
nlv2a_C5_LNG375_highbrent,2050,Utility solar,6233.28,3041.0,0.0
nlv2a_C5_LNG375_highbrent,2050,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_highbrent,2027,Distributed solar (netted),1277.11,800.2,0
nlv2a_C5_LNG375_highbrent,2030,Distributed solar (netted),1556.11,975.0,0
nlv2a_C5_LNG375_highbrent,2035,Distributed solar (netted),1944.27,1218.2,0
nlv2a_C5_LNG375_highbrent,2040,Distributed solar (netted),2283.92,1431.0,0
nlv2a_C5_LNG375_highbrent,2045,Distributed solar (netted),2581.1,1617.2,0
nlv2a_C5_LNG375_highbrent,2050,Distributed solar (netted),2829.77,1773.0,0
nlv2a_C5_LNG375_lowbrent,2027,Battery storage,-46.89,364.5,0.0
nlv2a_C5_LNG375_lowbrent,2027,Distributed solar (modeled),0.0,674.0,0.0
