scenario,period,cost_real_musd_yr,demand_gwh_yr,cost_per_mwh
nlv2b_C2_LSFO375_highbrent,2035,1570.21,6940.2,226.25
nlv2b_C2_LSFO375_highbrent,2040,1579.64,7080.0,223.11
nlv2b_C2_LSFO375_highbrent,2045,1391.15,7218.2,192.73
nlv2b_C2_LSFO375_highbrent,2050,1253.96,7391.2,169.66
nlv2b_C2_LSFO375_highbrent_adv,2027,1555.82,6776.1,229.6
nlv2b_C2_LSFO375_highbrent_adv,2030,1614.08,6856.2,235.42
nlv2b_C2_LSFO375_highbrent_adv,2035,1550.63,6940.2,223.43
nlv2b_C2_LSFO375_highbrent_adv,2040,1540.14,7080.0,217.53
nlv2b_C2_LSFO375_highbrent_adv,2045,1311.45,7218.2,181.69
nlv2b_C2_LSFO375_highbrent_adv,2050,1116.33,7391.2,151.04
nlv2b_C2_LSFO375_lowbrent,2027,1219.34,6776.1,179.95
nlv2b_C2_LSFO375_lowbrent,2030,1106.72,6856.2,161.42
nlv2b_C2_LSFO375_lowbrent,2035,1076.16,6940.2,155.06
nlv2b_C2_LSFO375_lowbrent,2040,1222.98,7080.0,172.74
nlv2b_C2_LSFO375_lowbrent,2045,1350.89,7218.2,187.15
nlv2b_C2_LSFO375_lowbrent,2050,1208.71,7391.2,163.53
nlv2b_C2_LSFO375_lowbrent_adv,2027,1212.18,6776.1,178.89
nlv2b_C2_LSFO375_lowbrent_adv,2030,1087.34,6856.2,158.59
nlv2b_C2_LSFO375_lowbrent_adv,2035,1037.68,6940.2,149.52
nlv2b_C2_LSFO375_lowbrent_adv,2040,1155.22,7080.0,163.17
nlv2b_C2_LSFO375_lowbrent_adv,2045,1212.28,7218.2,167.95
nlv2b_C2_LSFO375_lowbrent_adv,2050,1062.25,7391.2,143.72
nlv2b_C2_LSFO375_refbrent,2027,1461.45,6776.1,215.68
nlv2b_C2_LSFO375_refbrent,2030,1465.42,6856.2,213.74
nlv2b_C2_LSFO375_refbrent,2035,1463.66,6940.2,210.9
nlv2b_C2_LSFO375_refbrent,2040,1461.74,7080.0,206.46
nlv2b_C2_LSFO375_refbrent,2045,1362.69,7218.2,188.79
nlv2b_C2_LSFO375_refbrent,2050,1225.32,7391.2,165.78
nlv2b_C2_LSFO375_refbrent_adv,2027,1503.26,6776.1,221.85
nlv2b_C2_LSFO375_refbrent_adv,2030,1476.83,6856.2,215.4
nlv2b_C2_LSFO375_refbrent_adv,2035,1435.71,6940.2,206.87
nlv2b_C2_LSFO375_refbrent_adv,2040,1427.94,7080.0,201.69
nlv2b_C2_LSFO375_refbrent_adv,2045,1265.97,7218.2,175.39
nlv2b_C2_LSFO375_refbrent_adv,2050,1079.37,7391.2,146.03
nlv2b_C3_LSFO500_futbrent,2027,1400.22,6776.1,206.64
nlv2b_C3_LSFO500_futbrent,2030,1377.58,6856.2,200.92
nlv2b_C3_LSFO500_futbrent,2035,1368.12,6940.2,197.13
nlv2b_C3_LSFO500_futbrent,2040,1387.07,7080.0,195.91
nlv2b_C3_LSFO500_futbrent,2045,1381.2,7218.2,191.35
nlv2b_C3_LSFO500_futbrent,2050,1240.13,7391.2,167.79
nlv2b_C3_LSFO500_futbrent_adv,2027,1400.33,6776.1,206.66
nlv2b_C3_LSFO500_futbrent_adv,2030,1361.42,6856.2,198.57
nlv2b_C3_LSFO500_futbrent_adv,2035,1323.36,6940.2,190.68
nlv2b_C3_LSFO500_futbrent_adv,2040,1330.6,7080.0,187.94
nlv2b_C3_LSFO500_futbrent_adv,2045,1260.54,7218.2,174.63
nlv2b_C3_LSFO500_futbrent_adv,2050,1110.72,7391.2,150.28
nlv2b_C3_LSFO500_highbrent,2027,1542.3,6776.1,227.61
nlv2b_C3_LSFO500_highbrent,2030,1651.73,6856.2,240.91
nlv2b_C3_LSFO500_highbrent,2035,1592.39,6940.2,229.44
nlv2b_C3_LSFO500_highbrent,2040,1599.87,7080.0,225.97
nlv2b_C3_LSFO500_highbrent,2045,1411.22,7218.2,195.51
nlv2b_C3_LSFO500_highbrent,2050,1273.72,7391.2,172.33
nlv2b_C3_LSFO500_highbrent_adv,2027,1555.82,6776.1,229.6
nlv2b_C3_LSFO500_highbrent_adv,2030,1649.39,6856.2,240.57
nlv2b_C3_LSFO500_highbrent_adv,2035,1576.52,6940.2,227.16
nlv2b_C3_LSFO500_highbrent_adv,2040,1566.87,7080.0,221.31
nlv2b_C3_LSFO500_highbrent_adv,2045,1341.8,7218.2,185.89
nlv2b_C3_LSFO500_highbrent_adv,2050,1140.26,7391.2,154.27
nlv2b_C3_LSFO500_lowbrent,2027,1219.83,6776.1,180.02
nlv2b_C3_LSFO500_lowbrent,2030,1133.71,6856.2,165.35
nlv2b_C3_LSFO500_lowbrent,2035,1106.18,6940.2,159.39
nlv2b_C3_LSFO500_lowbrent,2040,1253.5,7080.0,177.05
nlv2b_C3_LSFO500_lowbrent,2045,1382.6,7218.2,191.54
nlv2b_C3_LSFO500_lowbrent,2050,1238.19,7391.2,167.52
nlv2b_C3_LSFO500_lowbrent_adv,2027,1211.85,6776.1,178.84
nlv2b_C3_LSFO500_lowbrent_adv,2030,1113.51,6856.2,162.41
nlv2b_C3_LSFO500_lowbrent_adv,2035,1064.13,6940.2,153.33
nlv2b_C3_LSFO500_lowbrent_adv,2040,1186.94,7080.0,167.65
nlv2b_C3_LSFO500_lowbrent_adv,2045,1242.54,7218.2,172.14
nlv2b_C3_LSFO500_lowbrent_adv,2050,1091.45,7391.2,147.67
nlv2b_C3_LSFO500_refbrent,2027,1463.13,6776.1,215.93
nlv2b_C3_LSFO500_refbrent,2030,1482.15,6856.2,216.18
nlv2b_C3_LSFO500_refbrent,2035,1495.4,6940.2,215.47
nlv2b_C3_LSFO500_refbrent,2040,1492.33,7080.0,210.78
nlv2b_C3_LSFO500_refbrent,2045,1393.71,7218.2,193.08
nlv2b_C3_LSFO500_refbrent,2050,1256.29,7391.2,169.97
nlv2b_C3_LSFO500_refbrent_adv,2027,1503.53,6776.1,221.89
nlv2b_C3_LSFO500_refbrent_adv,2030,1488.28,6856.2,217.07
nlv2b_C3_LSFO500_refbrent_adv,2035,1467.64,6940.2,211.47
