GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102700,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102702,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102704,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102706,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102708,0.8129797
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102710,0.76435465
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102712,0.7380542
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102714,0.28046745
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102716,0.38964027
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102718,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102720,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007102722,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121500,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121502,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121504,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121506,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121508,0.33684316
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121510,0.8162877
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121512,0.69904435
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121514,0.81862426
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121516,0.52516764
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121518,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121520,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3007121522,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022000,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022002,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022004,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022006,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022008,0.69009584
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022010,0.956982
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022012,0.8704858
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022014,0.46072337
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022016,0.14786042
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022018,-0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022020,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008022022,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041000,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041002,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041004,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041006,0.0017524998
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041008,0.24846973
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041010,0.5227576
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041012,0.36906794
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041014,0.3057465
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041016,0.35491198
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041018,0.0074430546
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041020,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008041022,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061700,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061702,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061704,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061706,0.05273316
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061708,0.47743002
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061710,0.83007497
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061712,0.43614176
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061714,0.30192956
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061716,0.101192474
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061718,0.044518758
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061720,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008061722,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081800,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081802,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081804,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081806,0.020871948
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081808,0.91161656
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081810,0.6890904
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081812,0.69063646
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081814,0.9162806
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081816,0.5166204
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081818,0.08999038
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081820,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008081822,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091000,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091002,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091004,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091006,0.0083801495
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091008,0.85689735
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091010,0.8557011
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091012,0.7317705
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091014,0.68290067
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091016,0.7648533
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091018,0.0057578064
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091020,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008091022,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112206,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112208,0.011252442
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112210,0.023782993
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112212,0.09120489
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112214,0.28424582
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112216,0.080686346
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3008112222,0.0
