GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_07,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_08,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_09,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_10,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_11,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_12,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_13,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_14,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_15,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_16,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_17,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_18,2045,1049339.436276,.,14249.596406
Oahu_DistBattery,2020,411890.214658,473076.804516,0.000000
Oahu_DistBattery,2045,382106.314185,241799.253324,26353.580615
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2013,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2014,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2015,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2016,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2017,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2018,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2019,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2020,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2045,1764354.180034,.,12647.851600
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2045,1764354.180034,.,12647.851600
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2013,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2014,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2015,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2016,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2017,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2018,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2019,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2020,5207259.437219,.,0.000000
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2045,1764354.180034,.,12647.851600
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2045,1764354.180034,.,12647.851600
Oahu_H-Power,1989,2462794.675799,.,93227.939110
Oahu_Hawaii_Cogen,1982,633029.216181,.,21638.089571
Oahu_IC_Barge,2045,1637687.224778,.,42646.050995
Oahu_IC_MCBH,2045,3534306.078339,.,42646.050995
Oahu_IC_Schofield,2018,4133424.559557,.,21638.089571
Oahu_IC_Schofield,2045,2773740.524850,.,42646.050995
Oahu_JERA,2045,2629242.432000,.,21397.278633
Oahu_Kahe_1,1963,676626.207886,.,12200.199439
Oahu_Kahe_2,1964,676626.207886,.,12200.199439
Oahu_Kahe_3,1970,676626.207886,.,12200.199439
Oahu_Kahe_4,1972,676626.207886,.,12200.199439
Oahu_Kahe_5,1974,676626.207886,.,12200.199439
Oahu_Kahe_6,1981,676626.207886,.,12200.199439
Oahu_Kalaeloa_CC1,1989,791862.001332,.,52483.876832
Oahu_Kalaeloa_CC2,1991,791862.001332,.,52483.876832
Oahu_Kalaeloa_CC3,1991,791862.001332,.,52483.876832
Oahu_OffshoreWind_OffWind,2045,4971755.873070,.,74917.611816
Oahu_OnshoreWind_OnWind_101,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_102,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_103,2012,5702329.429467,.,59922.280591
Oahu_OnshoreWind_OnWind_103,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_104,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_105,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_106,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_107,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_201,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_202,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_203,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_204,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_205,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_206,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_207,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_208,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_209,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_301,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_302,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_303,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_304,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_305,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_306,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_307,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_308,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_309,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_401,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_402,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_403,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_404,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_405,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_406,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_407,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_408,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_409,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_410,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_501,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_502,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_503,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_504,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_505,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_506,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_507,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_508,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_509,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_Kahuku,2011,7555815.319114,.,59922.280591
Oahu_OnshoreWind_OnWind_Kahuku,2045,1691815.656034,.,27693.078085
Oahu_OnshoreWind_OnWind_Kawailoa,2012,5702329.429467,.,59922.280591
Oahu_OnshoreWind_OnWind_Kawailoa,2020,2804421.700389,.,52591.211376
Oahu_OnshoreWind_OnWind_Kawailoa,2045,1691815.656034,.,27693.078085
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2045,2346009.764289,.,17974.972251
