scenario,matched_gap,old_npv,new_npv,delta_usd,delta_pct
nlv2s_egs_ref_lng_forced_refbrent,0.001,25809599384.20,26190177950.31,380578566.12,1.4746
nlv2s_egs_ref_lng_forced_refbrent_adv,0.001,24913081153.72,24946164718.55,33083564.83,0.1328
nlv2s_egs_ref_lng_forced_refbrent_j120,0.001,26240939031.45,26615023716.28,374084684.83,1.4256
nlv2s_egs_ref_lng_forced_refbrent_j120_adv,0.001,25335605317.41,25376595155.06,40989837.65,0.1618
nlv2s_egs_ref_no_lng_refbrent,0.001,25171089280.56,25621642879.17,450553598.61,1.7900
nlv2s_egs_ref_no_lng_refbrent_adv,0.001,24633536687.42,24091670181.57,-541866505.84,-2.1997
nlv2s_lc_C1_LSFO250_futbrent,0.001,24604842212.52,24989794767.54,384952555.03,1.5645
nlv2s_lc_C1_LSFO250_futbrent_adv,0.001,23819379670.45,23711365154.24,-108014516.21,-0.4535
nlv2s_lc_C1_LSFO250_highbrent,0.001,27642696556.90,28092116925.37,449420368.47,1.6258
nlv2s_lc_C1_LSFO250_highbrent_adv,0.001,27097809097.43,26507263974.05,-590545123.38,-2.1793
nlv2s_lc_C1_LSFO250_lowbrent,0.001,21756723793.63,22069025754.87,312301961.24,1.4354
nlv2s_lc_C1_LSFO250_lowbrent_adv,0.001,20700264167.86,20958654931.27,258390763.41,1.2482
nlv2s_lc_C1_LSFO250_refbrent,0.001,26039325682.16,26467270237.20,427944555.03,1.6435
nlv2s_lc_C1_LSFO250_refbrent_adv,0.001,25528855136.52,25087116924.74,-441738211.77,-1.7303
nlv2s_lc_C2_LSFO375_futbrent,0.001,25007062978.54,25382544721.17,375481742.63,1.5015
nlv2s_lc_C2_LSFO375_futbrent_adv,0.001,24123040749.75,24114911955.81,-8128793.94,-0.0337
nlv2s_lc_C2_LSFO375_highbrent,0.001,28057605706.47,28506014561.12,448408854.66,1.5982
nlv2s_lc_C2_LSFO375_highbrent_adv,0.001,27536975771.75,26963880157.94,-573095613.82,-2.0812
nlv2s_lc_C2_LSFO375_lowbrent,0.001,22191380729.50,22491998786.86,300618057.37,1.3547
nlv2s_lc_C2_LSFO375_lowbrent_adv,0.001,21102994849.32,21366799407.01,263804557.69,1.2501
nlv2s_lc_C2_LSFO375_refbrent,0.001,26416797705.59,26831459105.87,414661400.28,1.5697
nlv2s_lc_C2_LSFO375_refbrent_adv,0.001,25861676171.65,25473034290.76,-388641880.89,-1.5028
nlv2s_lc_C3_LSFO500_futbrent,0.001,25452541098.70,25824525348.85,371984250.15,1.4615
nlv2s_lc_C3_LSFO500_futbrent_adv,0.001,24507368063.75,24567074666.72,59706602.97,0.2436
nlv2s_lc_C3_LSFO500_highbrent,0.001,28507262417.56,28953654076.20,446391658.64,1.5659
nlv2s_lc_C3_LSFO500_highbrent_adv,0.001,28006301560.42,27440942607.94,-565358952.47,-2.0187
