GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_CentralTrackingPV_Constrained_C_PV_15,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_15,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_15,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_15,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_15,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_16,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_16,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_16,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_16,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_16,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_16,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_17,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_17,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_17,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_17,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_17,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_17,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_18,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_18,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_18,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_18,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_18,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_18,2050,1279531.1439246172,.,14582.528857330793
Oahu_DistBattery,2020,446162.2331794916,512439.9562242711,0.0
Oahu_DistBattery,2027,458363.51098431443,415786.32964082103,41435.719327101535
Oahu_DistBattery,2030,464138.0770438473,359296.954528008,37135.27138976327
Oahu_DistBattery,2035,448134.8334344357,326644.5898188585,34271.742045114646
Oahu_DistBattery,2040,431441.8953670074,294171.34947460535,31408.73619659041
Oahu_DistBattery,2045,413900.1131420471,261918.5671445448,28546.374642973165
Oahu_DistBattery,2050,395297.2909732701,229941.35337075827,25684.81844641217
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2013,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2014,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2015,5640538.222510587,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2016,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2017,5640538.222510587,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2018,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2019,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2020,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2027,3041421.5329562086,.,19554.839643804793
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2030,2761081.231639529,.,18102.71439475672
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2035,2293847.396111729,.,15682.505646343257
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2040,2102503.8175517335,.,14691.371512702184
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2045,1911160.238991737,.,13700.237379061115
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2050,1719816.6604317392,.,12709.10324542003
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2027,3041421.5329562086,.,19554.839643804793
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2030,2761081.231639529,.,18102.71439475672
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2035,2293847.396111729,.,15682.505646343257
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2040,2102503.8175517335,.,14691.371512702184
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2045,1911160.238991737,.,13700.237379061115
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2050,1719816.6604317392,.,12709.10324542003
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2013,5640538.222510589,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2014,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2015,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2016,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2017,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2018,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2019,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2020,5640538.222510588,.,0.0
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2027,3041421.5329562086,.,19554.839643804793
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2030,2761081.231639529,.,18102.71439475672
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2035,2293847.396111729,.,15682.505646343257
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2040,2102503.8175517335,.,14691.371512702184
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2045,1911160.238991737,.,13700.237379061115
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2050,1719816.6604317392,.,12709.10324542003
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2027,3041421.5329562086,.,19554.839643804793
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2030,2761081.231639529,.,18102.71439475672
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2035,2293847.396111729,.,15682.505646343257
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2040,2102503.8175517335,.,14691.371512702184
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2045,1911160.238991737,.,13700.237379061115
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2050,1719816.6604317392,.,12709.10324542003
Oahu_H-Power,1989,2667715.651681903,.,100985.12668654507
Oahu_Hawaii_Cogen,1982,685701.4775012321,.,23438.523230951207
Oahu_IC_Barge,2027,1773679.7085729528,.,46194.48744103376
Oahu_IC_Barge,2030,1774186.8926126715,.,46194.48744103376
Oahu_IC_Barge,2035,1773695.2431443091,.,46194.48744103376
Oahu_IC_Barge,2040,1774345.2611632263,.,46194.48744103376
Oahu_IC_Barge,2045,1773953.746543662,.,46194.48744103376
Oahu_IC_Barge,2050,1773953.7465436624,.,46194.48744103376
Oahu_IC_MCBH,2027,3984720.1900051986,.,46194.48744103376
Oahu_IC_MCBH,2030,3932659.1157029546,.,46194.48744103376
Oahu_IC_MCBH,2035,3868317.5739011588,.,46194.48744103376
Oahu_IC_MCBH,2040,3828252.5526426677,.,46194.48744103376
Oahu_IC_MCBH,2045,3828383.9638246335,.,46194.48744103376
Oahu_IC_MCBH,2050,3828383.9638246335,.,46194.48744103376
Oahu_IC_Schofield,2018,4477353.106588879,.,23438.52323095121
Oahu_IC_Schofield,2027,3126523.610515552,.,46194.48744103376
Oahu_IC_Schofield,2030,3085769.4335906086,.,46194.48744103376
Oahu_IC_Schofield,2035,3035435.37033528,.,46194.48744103376
Oahu_IC_Schofield,2040,3004418.1945545725,.,46194.48744103376
Oahu_IC_Schofield,2045,3004534.273425302,.,46194.48744103376
Oahu_IC_Schofield,2050,3004534.273425302,.,46194.48744103376
Oahu_JERA,2027,4461740.881813949,.,23177.675213449613
Oahu_JERA,2030,4229227.142484591,.,23177.675213449613
Oahu_JERA,2035,3868317.5739011588,.,23177.675213449613
Oahu_JERA,2040,3538206.9461895945,.,23177.675213449613
Oahu_JERA,2045,3236266.97004587,.,23177.675213449613
Oahu_JERA,2050,2960093.6464977087,.,23177.675213449613
Oahu_Kahe_1,1963,732926.0302746205,.,13215.337566387381
Oahu_Kahe_2,1964,732926.0302746205,.,13215.337566387381
Oahu_Kahe_3,1970,732926.0302746205,.,13215.337566387383
Oahu_Kahe_4,1972,732926.0302746205,.,13215.337566387381
Oahu_Kahe_5,1974,732926.0302746205,.,13215.337566387381
Oahu_Kahe_6,1981,732926.0302746205,.,13215.337566387381
Oahu_Kalaeloa_CC1,1989,857750.2118560866,.,56850.88613464761
Oahu_Kalaeloa_CC2,1991,857750.2118560866,.,56850.88613464761
Oahu_Kalaeloa_CC3,1991,857750.2118560865,.,56850.88613464762
Oahu_OffshoreWind_OffWind,2027,9583037.894236216,.,92945.74816256607
Oahu_OffshoreWind_OffWind,2030,7468564.380691739,.,89990.01357309596
Oahu_OffshoreWind_OffWind,2035,5765523.983273272,.,85027.38192519626
Oahu_OffshoreWind_OffWind,2040,5548180.48206621,.,82810.95229218167
Oahu_OffshoreWind_OffWind,2045,5385439.187954114,.,81151.25779327432
Oahu_OffshoreWind_OffWind,2050,5256112.231166012,.,79832.3679126805
Oahu_OnshoreWind_OnWind_101,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_101,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_101,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_101,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_101,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_101,2050,1719590.7338780432,.,28851.91847425112
Oahu_OnshoreWind_OnWind_102,2027,2320698.9262215705,.,34795.66133589947
Oahu_OnshoreWind_OnWind_102,2030,2171571.8984462833,.,33433.553596771744
Oahu_OnshoreWind_OnWind_102,2035,2058576.6073042185,.,32288.144816141586
Oahu_OnshoreWind_OnWind_102,2040,1945581.3161621534,.,31142.736035511432
Oahu_OnshoreWind_OnWind_102,2045,1832586.025020105,.,29997.327254881275
Oahu_OnshoreWind_OnWind_102,2050,1719590.7338780432,.,28851.91847425112
