LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,3007050216,846.666574
Oahu,3007050218,1087.286015
Oahu,3007050220,942.565044
Oahu,3007050222,729.816031
Oahu,3007092200,720.662239
Oahu,3007092202,654.077527
Oahu,3007092204,672.614014
Oahu,3007092206,821.864318
Oahu,3007092208,829.845841
Oahu,3007092210,734.486523
Oahu,3007092212,482.803434
Oahu,3007092214,576.234967
Oahu,3007092216,797.196588
Oahu,3007092218,1123.217918
Oahu,3007092220,908.289088
Oahu,3007092222,786.518539
Oahu,3007102700,707.750854
Oahu,3007102702,641.085947
Oahu,3007102704,665.430839
Oahu,3007102706,814.318471
Oahu,3007102708,739.987207
Oahu,3007102710,732.911327
Oahu,3007102712,656.809361
Oahu,3007102714,685.947737
Oahu,3007102716,922.955402
Oahu,3007102718,1103.684723
Oahu,3007102720,919.019358
Oahu,3007102722,788.688231
Oahu,3007121500,669.268740
Oahu,3007121502,594.893662
Oahu,3007121504,622.801501
Oahu,3007121506,768.458422
Oahu,3007121508,840.649846
Oahu,3007121510,600.679387
Oahu,3007121512,620.899146
Oahu,3007121514,670.584542
Oahu,3007121516,864.205108
Oahu,3007121518,1062.544719
Oahu,3007121520,889.449825
Oahu,3007121522,752.638608
Oahu,3008022000,610.971068
Oahu,3008022002,554.430823
Oahu,3008022004,634.101169
Oahu,3008022006,912.757009
Oahu,3008022008,763.673389
Oahu,3008022010,587.205248
Oahu,3008022012,532.000513
Oahu,3008022014,669.687020
Oahu,3008022016,821.559050
Oahu,3008022018,1162.583511
Oahu,3008022020,915.954097
Oahu,3008022022,687.947954
Oahu,3008041000,584.628454
Oahu,3008041002,542.830078
Oahu,3008041004,640.371520
Oahu,3008041006,917.273887
Oahu,3008041008,739.399172
Oahu,3008041010,620.914579
Oahu,3008041012,518.439519
Oahu,3008041014,641.590261
Oahu,3008041016,786.408905
Oahu,3008041018,1136.623937
Oahu,3008041020,946.180606
Oahu,3008041022,715.228466
Oahu,3008061700,687.690661
Oahu,3008061702,626.605303
Oahu,3008061704,696.197874
Oahu,3008061706,863.971926
Oahu,3008061708,755.551268
Oahu,3008061710,629.815286
Oahu,3008061712,656.087513
Oahu,3008061714,807.125624
Oahu,3008061716,769.275727
Oahu,3008061718,1085.094799
Oahu,3008061720,991.923122
Oahu,3008061722,772.967375
Oahu,3008081800,686.857787
Oahu,3008081802,634.541402
Oahu,3008081804,702.016094
Oahu,3008081806,954.311964
Oahu,3008081808,846.857419
Oahu,3008081810,838.828567
Oahu,3008081812,695.720524
Oahu,3008081814,778.989439
Oahu,3008081816,990.530680
Oahu,3008081818,1128.436438
Oahu,3008081820,1032.335374
Oahu,3008081822,792.132922
Oahu,3008091000,684.942177
Oahu,3008091002,631.328888
Oahu,3008091004,702.682393
Oahu,3008091006,955.862019
Oahu,3008091008,780.189618
Oahu,3008091010,665.631940
Oahu,3008091012,558.278712
Oahu,3008091014,662.711530
Oahu,3008091016,860.317828
Oahu,3008091018,1191.242034
Oahu,3008091020,971.777681
Oahu,3008091022,738.864985
Oahu,3008112200,637.016228
Oahu,3008112202,565.496149
Oahu,3008112204,590.327692
Oahu,3008112206,732.523078
Oahu,3008112208,765.027132
Oahu,3008112210,657.148125
Oahu,3008112212,567.054694
Oahu,3008112214,571.043314
Oahu,3008112216,837.712007
Oahu,3008112218,1020.614190
Oahu,3008112220,827.424581
Oahu,3008112222,698.828431
Oahu,3507011200,665.719315
Oahu,3507011202,603.358906
Oahu,3507011204,673.636210
Oahu,3507011206,972.172106
Oahu,3507011208,877.343105
Oahu,3507011210,726.877909
Oahu,3507011212,667.430870
Oahu,3507011214,588.565382
Oahu,3507011216,740.560127
Oahu,3507011218,1153.214620
Oahu,3507011220,870.096862
Oahu,3507011222,710.061149
Oahu,3507011900,622.354700
Oahu,3507011902,561.396984
Oahu,3507011904,641.659562
Oahu,3507011906,939.898276
Oahu,3507011908,790.934827
Oahu,3507011910,591.694950
Oahu,3507011912,548.819307
Oahu,3507011914,584.929940
Oahu,3507011916,805.567668
Oahu,3507011918,1131.342116
Oahu,3507011920,840.490655
Oahu,3507011922,682.258044
Oahu,3507021200,549.212574
Oahu,3507021202,502.733504
Oahu,3507021204,594.158190
Oahu,3507021206,891.243844
Oahu,3507021208,670.149207
Oahu,3507021210,505.165637
Oahu,3507021212,420.834305
Oahu,3507021214,383.068833
