timepoint_id,charge_mw,discharge_mw
4008022012,115.925926,0.0
4008022014,115.925926,0.0
4008022016,0.0,0.0
4008022018,0.0,104.333333
4008022020,0.0,104.333333
4008022022,0.0,104.333333
4008041000,0.0,0.0
4008041002,0.0,0.0
4008041004,0.0,0.0
4008041006,0.0,0.0
4008041008,0.0,0.0
4008041010,115.925926,0.0
4008041012,115.925926,0.0
4008041014,115.925926,0.0
4008041016,0.0,0.0
4008041018,0.0,104.333333
4008041020,0.0,104.333333
4008041022,0.0,104.333333
4007050200,0.0,0.0
4007050202,0.0,0.0
4007050204,0.0,0.0
4007050206,0.0,0.0
4007050208,0.0,0.0
4007050210,115.925926,0.0
4007050212,115.925926,0.0
4007050214,115.925926,0.0
4007050216,0.0,0.0
4007050218,0.0,104.333333
4007050220,0.0,104.333333
4007050222,0.0,104.333333
4008061700,0.0,0.0
4008061702,0.0,0.0
4008061704,0.0,0.0
4008061706,0.0,0.0
4008061708,0.0,0.0
4008061710,115.925926,0.0
4008061712,115.925926,0.0
4008061714,115.925926,0.0
4008061716,0.0,0.0
4008061718,0.0,104.333333
4008061720,0.0,104.333333
4008061722,0.0,104.333333
4008081800,0.0,0.0
4008081802,0.0,0.0
4008081804,0.0,0.0
4008081806,0.0,0.0
4008081808,0.0,0.0
4008081810,115.925926,0.0
4008081812,115.925926,0.0
4008081814,115.925926,0.0
4008081816,0.0,0.0
4008081818,0.0,104.333333
4008081820,0.0,104.333333
4008081822,0.0,104.333333
4008091000,0.0,0.0
4008091002,0.0,0.0
4008091004,0.0,0.0
4008091006,0.0,0.0
4008091008,0.0,0.0
4008091010,115.925926,0.0
4008091012,115.925926,0.0
4008091014,115.925926,0.0
4008091016,0.0,0.0
4008091018,0.0,104.333333
4008091020,0.0,104.333333
4008091022,0.0,104.333333
4007092200,0.0,0.0
4007092202,0.0,0.0
4007092204,0.0,0.0
4007092206,0.0,0.0
4007092208,0.0,0.0
4007092210,115.925926,0.0
4007092212,115.925926,0.0
4007092214,115.925926,0.0
4007092216,0.0,0.0
4007092218,0.0,104.333333
4007092220,0.0,104.333333
4007092222,0.0,104.333333
4007102700,0.0,0.0
4007102702,0.0,0.0
4007102704,0.0,0.0
4007102706,0.0,0.0
4007102708,0.0,0.0
4007102710,115.925926,0.0
4007102712,115.925926,0.0
4007102714,115.925926,0.0
4007102716,0.0,0.0
4007102718,0.0,104.333333
4007102720,0.0,104.333333
4007102722,0.0,104.333333
4008112200,0.0,0.0
4008112202,0.0,0.0
4008112204,0.0,0.0
4008112206,0.0,0.0
4008112208,0.0,0.0
4008112210,115.925926,0.0
4008112212,115.925926,0.0
4008112214,115.925926,0.0
4008112216,0.0,0.0
4008112218,0.0,104.333333
4008112220,0.0,104.333333
4008112222,0.0,104.333333
4007121500,0.0,0.0
4007121502,0.0,0.0
4007121504,0.0,0.0
4007121506,0.0,0.0
4007121508,0.0,0.0
4007121510,115.925926,0.0
4007121512,115.925926,0.0
4007121514,115.925926,0.0
4007121516,0.0,0.0
4007121518,0.0,104.333333
4007121520,0.0,104.333333
4007121522,0.0,104.333333
4507011200,0.0,0.0
4507011202,0.0,0.0
4507011204,0.0,0.0
4507011206,0.0,0.0
4507011208,0.0,0.0
4507011210,141.296296,0.0
4507011212,141.296296,0.0
4507011214,141.296296,0.0
4507011216,0.0,0.0
4507011218,0.0,127.166667
4507011220,0.0,127.166667
4507011222,0.0,127.166667
4507011900,0.0,0.0
4507011902,0.0,0.0
4507011904,0.0,0.0
4507011906,0.0,0.0
4507011908,0.0,0.0
4507011910,141.296296,0.0
4507011912,141.296296,0.0
4507011914,141.296296,0.0
4507011916,0.0,0.0
4507011918,0.0,127.166667
4507011920,0.0,127.166667
4507011922,0.0,127.166667
4507021200,0.0,0.0
4507021202,0.0,0.0
4507021204,0.0,0.0
4507021206,0.0,0.0
