GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2019,1.7171632842202103,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2020,1.5879144348703085,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2013,17.651949223363015,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2014,18.46402436923202,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2015,11.555100217999778,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2016,6.657507697402827,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2017,8.704037631574245,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2018,5.121353164505131,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2019,4.208711437104345,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2020,3.8919267052793023,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2013,6.2940231006527165,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2014,6.583578642813498,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2015,4.120115392479688,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2016,2.3738175716462595,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2017,3.1035333961628986,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2018,1.8260824748653475,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2019,1.5006686612295426,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2020,1.3877151060832384,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2013,6.3863214852124175,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2014,6.680123200028486,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2015,4.180534617011292,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2016,2.408628299792405,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2017,3.149045005242187,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2018,1.8528609692889495,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2019,1.5226751411829593,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2020,1.4080651843197314,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2013,7.590416375494327,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2014,7.939612286231355,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2015,4.968744290239558,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2016,2.862757806909126,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2017,3.7427747460420693,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2018,2.202204551614011,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2019,1.8097645652439067,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2020,1.6735457269997485,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2013,8.485913104154905,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2014,8.876306200956222,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2015,5.554943259748747,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2016,3.2004982053556734,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2017,4.18433715518933,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2018,2.462014669301178,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2019,2.023275678159133,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2020,1.8709861109858723,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2013,8.530882460171243,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2014,8.923344365118592,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2015,5.584380542222909,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2016,3.217458589165852,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2017,4.206511191726656,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2018,2.4750616110766064,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2019,2.03399761263732,.
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2020,1.8809010181377444,.
Oahu_Tesoro_Hawaii,1990,20.0,.
Oahu_Waiau_10,1973,51.2,.
Oahu_Waiau_7,1966,77.8,.
Oahu_Waiau_8,1968,77.8,.
Oahu_Waiau_9,1973,51.2,.
