timepoint_id,charge_mw,discharge_mw
3008081806,0.0,0.0
3008081808,0.0,0.0
3008081810,114.160659,0.0
3008081812,114.160659,0.0
3008081814,114.160659,0.0
3008081816,0.0,0.0
3008081818,0.0,102.744593
3008081820,0.0,102.744593
3008081822,0.0,102.744593
3008091000,0.0,0.0
3008091002,0.0,0.0
3008091004,0.0,0.0
3008091006,0.0,0.0
3008091008,0.0,0.0
3008091010,141.495343,0.0
3008091012,141.495343,0.0
3008091014,141.495343,0.0
3008091016,0.0,0.0
3008091018,0.0,127.345809
3008091020,0.0,127.345809
3008091022,0.0,127.345809
3007092200,0.0,0.0
3007092202,0.0,0.0
3007092204,0.0,0.0
3007092206,0.0,0.0
3007092208,0.0,0.0
3007092210,128.449822,0.0
3007092212,128.449822,0.0
3007092214,128.449822,0.0
3007092216,0.0,0.0
3007092218,0.0,115.60484
3007092220,0.0,115.60484
3007092222,0.0,115.60484
3007102700,0.0,0.0
3007102702,0.0,0.0
3007102704,0.0,0.0
3007102706,0.0,0.0
3007102708,0.0,0.0
3007102710,99.810819,0.0
3007102712,99.810819,0.0
3007102714,99.810819,0.0
3007102716,0.0,0.0
3007102718,0.0,89.829737
3007102720,0.0,89.829737
3007102722,0.0,89.829737
3008112200,0.0,0.0
3008112202,0.0,0.0
3008112204,0.0,0.0
3008112206,0.0,0.0
3008112208,0.0,0.0
3008112210,94.674401,0.0
3008112212,94.674401,0.0
3008112214,94.674401,0.0
3008112216,0.0,0.0
3008112218,0.0,85.206961
3008112220,0.0,85.206961
3008112222,0.0,85.206961
3007121500,0.0,0.0
3007121502,0.0,0.0
3007121504,0.0,0.0
3007121506,0.0,0.0
3007121508,0.0,0.0
3007121510,91.92951,0.0
3007121512,91.92951,0.0
3007121514,91.92951,0.0
3007121516,0.0,0.0
3007121518,0.0,82.736559
3007121520,0.0,82.736559
3007121522,0.0,82.736559
3507011200,0.0,0.0
3507011202,0.0,0.0
3507011204,0.0,0.0
3507011206,0.0,0.0
3507011208,0.0,0.0
3507011210,170.540333,0.0
3507011212,170.540333,0.0
3507011214,170.540333,0.0
3507011216,0.0,0.0
3507011218,0.0,153.4863
3507011220,0.0,153.4863
3507011222,0.0,153.4863
3507011900,0.0,0.0
3507011902,0.0,0.0
3507011904,0.0,0.0
3507011906,0.0,0.0
3507011908,0.0,0.0
3507011910,185.565091,0.0
3507011912,185.565091,0.0
3507011914,185.565091,0.0
3507011916,0.0,0.0
3507011918,0.0,167.008582
3507011920,0.0,167.008582
3507011922,0.0,167.008582
3507021200,0.0,0.0
3507021202,0.0,0.0
