year,world_demand_mbd,change_mbd,pct_change,episode,basis,source,world_gdp_growth_pct,gdp_source
1996,71.9000015258789,1.4900000095367432,2.119999885559082,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.59,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1997,74.08000183105469,2.180000066757202,3.0299999713897705,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.0,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1998,74.37000274658203,0.2899999916553497,0.3899999856948852,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.78,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1999,75.7300033569336,1.3600000143051147,1.830000042915344,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.58,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2000,76.69999694824219,0.9700000286102296,1.2799999713897705,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.57,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2001,77.56999969482422,0.8700000047683716,1.1299999952316284,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.03,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2002,78.31999969482422,0.75,0.9700000286102296,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.32,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2003,79.9000015258789,1.5800000429153442,2.0199999809265137,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.07,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2004,82.94000244140625,3.039999961853028,3.799999952316284,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.5,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2005,84.25,1.309999942779541,1.5800000429153442,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.06,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2006,85.08000183105469,0.8299999833106995,0.9900000095367432,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.49,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2007,86.33999633789062,1.2599999904632568,1.4800000190734863,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.43,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2008,85.4000015258789,-0.9399999976158142,-1.090000033378601,Global financial crisis,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.09,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2009,84.05000305175781,-1.350000023841858,-1.5800000429153442,Global financial crisis,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",-1.33,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2010,87.05999755859375,3.009999990463257,3.5799999237060547,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.52,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2011,87.88999938964844,0.8299999833106995,0.949999988079071,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.31,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2012,89.12000274658203,1.2300000190734863,1.399999976158142,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.75,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2013,90.61000061035156,1.4900000095367432,1.6699999570846558,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.89,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2014,91.48999786376952,0.8799999952316284,0.9700000286102296,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.17,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2015,93.3499984741211,1.8600000143051147,2.0299999713897705,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.13,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2016,95.13999938964844,1.7899999618530271,1.919999957084656,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.79,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2017,97.2300033569336,2.0899999141693115,2.200000047683716,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.45,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2018,98.4499969482422,1.2200000286102295,1.25,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.29,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2019,98.9000015258789,0.449999988079071,0.4600000083446502,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.68,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2020,90.12000274658205,-8.779999732971191,-8.880000114440918,COVID-19 pandemic,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",-2.89,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2021,95.30999755859376,5.190000057220459,5.760000228881836,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",6.49,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2022,98.3000030517578,2.990000009536743,3.140000104904175,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.44,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2023,100.69000244140624,2.390000104904175,2.430000066757202,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.86,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2024,101.41999816894533,0.7300000190734863,0.7200000286102295,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.9,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
2025,104.5,0.83,0.8,,IEA demand (NOTE: IEA basis runs ~2-3 mb/d above EI consumption basis; do not splice levels),IEA Oil Market Report Dec 2025 (+830 kb/d growth); level ~104.4-104.5 mb/d per IEA OMR Aug/Dec 2025 (Aug 2025 OMR: 104.4 mb/d),3.5,IMF WEO Update July 2026 (PPP weights; runs ~0.5pp above market-rate basis). WB market-rate 2025: 2.92
2026,103.5,-1.0,-0.96,"2026 Hormuz war (forecast; part supply-rationing, pent-up demand expected)",IEA demand forecast (level = 2025 IEA level minus 1.0; approximate),"IEA Oil Market Report July 2026: -1.0 mb/d in 2026, first annual decline since 2020; Q2 -4.8, Q3 -1.7, Q4 +1.2 mb/d y-o-y; +2.0 mb/d 2027",3.0,"IMF WEO Update July 2026 projection (PPP weights; ~0.5pp above market-rate basis); world growth 3.0% vs 3.5% in 2025, 3.4% expected 2027"
