year,quarter,hour,load_anom,load_mw,pv_mw_cum,batt_mwh_cum,n
2013,3,3,-2.8370026315635344,657.1101335283438,259.62407990709823,20.868157808429395,92
2013,3,4,0.0,659.9471361599074,259.62407990709823,20.868157808429395,92
2013,3,5,36.12241799128434,696.0695541511916,259.62407990709823,20.868157808429395,92
2013,3,6,116.68297293075636,776.6301090906637,259.62407990709823,20.868157808429395,92
2013,3,7,190.22394995131071,850.1710861112181,259.62407990709823,20.868157808429395,92
2013,3,8,233.30395894373902,893.2510951036464,259.62407990709823,20.868157808429395,92
2013,3,9,257.65631521994425,917.6034513798517,259.62407990709823,20.868157808429395,92
2013,3,10,265.84582735513135,925.7929635150387,259.62407990709823,20.868157808429395,92
2013,3,11,267.73166434283024,927.6788005027375,259.62407990709823,20.868157808429395,92
2013,3,12,268.8905544764845,928.8376906363919,259.62407990709823,20.868157808429395,92
2013,3,13,273.18408688937853,933.131223049286,259.62407990709823,20.868157808429395,92
2013,3,14,282.6682053290261,942.6153414889334,259.62407990709823,20.868157808429395,92
2013,3,15,303.65423439851145,963.6013705584188,259.62407990709823,20.868157808429395,92
2013,3,16,331.56962907338016,991.5167652332874,259.62407990709823,20.868157808429395,92
2013,3,17,357.8794883974054,1017.8266245573126,259.62407990709823,20.868157808429395,92
2013,3,18,380.79225960807446,1040.7393957679817,259.62407990709823,20.868157808429395,92
2013,3,19,396.3029593755906,1056.250095535498,259.62407990709823,20.868157808429395,92
2013,3,20,400.54709585382335,1060.4942320137307,259.62407990709823,20.868157808429395,92
2013,3,21,352.9373399051014,1012.8844760650087,259.62407990709823,20.868157808429395,92
2013,3,22,283.44586544172665,943.393001601634,259.62407990709823,20.868157808429395,92
2013,3,23,188.92915692987998,848.8762930897873,259.62407990709823,20.868157808429395,92
2013,4,0,96.32778420744526,730.8457193078473,279.85689840193857,22.842306991882968,92
2013,4,1,44.12534470895152,678.6432798093534,279.85689840193857,22.842306991882968,92
2013,4,2,12.04858111214556,646.5665162125475,279.85689840193857,22.842306991882968,92
2013,4,3,-4.3285024239112575,630.1894326764906,279.85689840193857,22.842306991882968,92
2013,4,4,0.0,634.5179351004019,279.85689840193857,22.842306991882968,92
2013,4,5,39.79144734207223,674.3093824424742,279.85689840193857,22.842306991882968,92
2013,4,6,122.74730851302674,757.2652436134287,279.85689840193857,22.842306991882968,92
2013,4,7,199.9206409157704,834.4385760161722,279.85689840193857,22.842306991882968,92
2013,4,8,233.09142845421084,867.6093635546127,279.85689840193857,22.842306991882968,92
2013,4,9,257.1681321122208,891.6860672126228,279.85689840193857,22.842306991882968,92
2013,4,10,265.54685516047,900.0647902608719,279.85689840193857,22.842306991882968,92
2013,4,11,265.57791378847213,900.095848888874,279.85689840193857,22.842306991882968,92
2013,4,12,269.6572222305845,904.1751573309864,279.85689840193857,22.842306991882968,92
2013,4,13,278.24530401258926,912.7632391129911,279.85689840193857,22.842306991882968,92
2013,4,14,292.750621082674,927.2685561830759,279.85689840193857,22.842306991882968,92
2013,4,15,312.4850241079353,947.0029592083373,279.85689840193857,22.842306991882968,92
2013,4,16,342.1972829326404,976.7152180330422,279.85689840193857,22.842306991882968,92
2013,4,17,372.2429318021491,1006.760866902551,279.85689840193857,22.842306991882968,92
2013,4,18,415.91086688425594,1050.4288019846579,279.85689840193857,22.842306991882968,92
2013,4,19,427.6066335581428,1062.1245686585446,279.85689840193857,22.842306991882968,92
2013,4,20,382.81545263248796,1017.3333877328898,279.85689840193857,22.842306991882968,92
2013,4,21,331.66112753408623,966.1790626344882,279.85689840193857,22.842306991882968,92
2013,4,22,265.4508542068631,899.9687893072651,279.85689840193857,22.842306991882968,92
2013,4,23,175.27615016732017,809.7940852677222,279.85689840193857,22.842306991882968,92
2014,1,0,89.6412650559238,684.263317422543,296.8647925032747,24.247388240098108,90
2014,1,1,39.37231116285976,633.994363529479,296.8647925032747,24.247388240098108,90
2014,1,2,8.271356715621062,602.8934090822403,296.8647925032747,24.247388240098108,90
