date,load_day,pv_mw,batt_mwh,year,quarter,ghi_midday,temp_day,season,t_years,lowsun,lowsun_x_pv,yearF,era
2018-05-19,678.5830200195312,485.81343093009957,44.78346936477328,2018,2,875.2572649572651,25.264423076923084,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-20,641.706005859375,485.81343093009957,44.78346936477328,2018,2,897.8623931623931,25.498985042735043,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-21,786.6700134277344,485.88962772227654,44.81300863897594,2018,2,803.8136752136752,25.193304843304848,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-22,773.6039855957031,485.9747888429449,44.84602312190832,2018,2,788.2803418803419,24.794284188034194,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-23,785.3979919433593,486.1060404409014,44.86861197865152,2018,2,729.8401709401709,24.938621794871796,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-24,784.5459777832032,486.2323426242514,44.92334651614468,2018,2,682.8538461538461,25.147507122507132,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-25,787.2949951171875,487.77731989948444,44.94767297725275,2018,2,685.3247863247864,24.97286324786325,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-26,748.7460021972656,487.78180206373014,44.94941058161761,2018,2,612.6888888888889,24.964850427350417,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-27,718.0759948730469,487.78180206373014,44.94941058161761,2018,2,622.4547008547008,25.068660968660975,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-28,754.1219909667968,487.78180206373014,44.94941058161761,2018,2,672.4222222222222,25.283404558404566,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-29,907.6939880371094,488.01349749013485,44.984162668914855,2018,2,519.5094017094018,25.625409544159556,2,-0.5010266940450947,1,488.01349749013485,2018,2017-20
2018-05-30,796.6669921875,488.1031407750489,45.0189147562121,2018,2,794.6623931623932,25.647168803418797,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-05-31,793.0880004882813,488.1883018957173,45.05192923914448,2018,2,786.0854700854701,25.35074786324786,2,-0.5010266940450947,0,0.0,2018,2017-20
2018-06-01,803.6440124511719,488.2644986878943,45.08146851334713,2018,2,716.5777777777778,25.53514957264957,2,-0.5010266940450947,0,0.0,2018,2017-20
